hour,hour_range,hourly_count,cumulative_hourly_count
0,00:00 - 01:00,40,40
1,01:00 - 02:00,49,89
2,02:00 - 03:00,52,141
3,03:00 - 04:00,21,162
4,04:00 - 05:00,49,211
5,05:00 - 06:00,26,237
6,06:00 - 07:00,73,310
7,07:00 - 08:00,72,382
8,08:00 - 09:00,63,445
9,09:00 - 10:00,120,565
10,10:00 - 11:00,205,770
11,11:00 - 12:00,239,1009
12,12:00 - 13:00,216,1225
13,13:00 - 14:00,308,1533
14,14:00 - 15:00,338,1871
15,15:00 - 16:00,213,2084
16,16:00 - 17:00,250,2334
17,17:00 - 18:00,197,2531
18,18:00 - 19:00,232,2763
19,19:00 - 20:00,216,2979
20,20:00 - 21:00,153,3132
21,21:00 - 22:00,155,3287
22,22:00 - 23:00,95,3382
23,23:00 - 00:00,33,3415
