videoname,start_time,end_time,duration_minutes,time_range,split,original_count,processed_sum,cumilative_sum
D06_20250810000009.avi,00:00:09,00:45:11,45.04,00:00 - 00:30,0,2,0,0
D06_20250810000009.avi,00:00:09,00:45:11,45.04,00:30 - 01:00,1,2,1,1
D06_20250810000707.avi,00:07:07,00:10:53,3.78,00:00 - 00:30,0,2,1,2
D06_20250810001206.avi,00:12:06,00:14:55,2.82,00:00 - 00:30,0,1,0,2
D06_20250810001642.avi,00:16:42,00:17:51,1.15,00:00 - 00:30,0,0,0,2
D06_20250810003807.avi,00:38:07,00:42:23,4.27,00:30 - 01:00,1,1,1,3
D06_20250810005918.avi,00:59:18,01:02:22,3.08,00:30 - 01:00,1,0,0,3
D06_20250810010344.avi,01:03:44,01:04:52,1.14,01:00 - 01:30,2,0,0,3
D06_20250810011232.avi,01:12:32,01:15:07,2.59,01:00 - 01:30,2,1,0,3
D06_20250810011507.avi,01:15:07,01:19:46,4.66,01:00 - 01:30,2,3,2,5
D06_20250810013635.avi,01:36:35,01:39:21,2.77,01:30 - 02:00,3,1,1,6
D06_20250810015047.avi,01:50:47,01:55:39,4.88,01:30 - 02:00,3,2,2,8
D06_20250810015712.avi,01:57:12,01:58:58,1.77,01:30 - 02:00,3,0,0,8
D06_20250810020328.avi,02:03:28,02:05:49,2.35,02:00 - 02:30,4,1,0,8
D06_20250810020814.avi,02:08:14,02:10:04,1.84,02:00 - 02:30,4,1,0,8
D06_20250810021554.avi,02:15:54,02:18:06,2.21,02:00 - 02:30,4,0,0,8
D06_20250810022115.avi,02:21:15,02:25:39,4.40,02:00 - 02:30,4,1,0,8
D06_20250810022759.avi,02:27:59,02:31:26,3.46,02:00 - 02:30,4,0,0,8
D06_20250810023251.avi,02:32:51,02:35:43,2.87,02:30 - 03:00,5,1,1,9
D06_20250810023657.avi,02:36:57,02:41:15,4.30,02:30 - 03:00,5,0,0,9
D06_20250810024124.avi,02:41:24,02:44:38,3.24,02:30 - 03:00,5,0,0,9
D06_20250810024743.avi,02:47:43,02:50:59,3.27,02:30 - 03:00,5,1,1,10
D06_20250810025245.avi,02:52:45,02:53:51,1.11,02:30 - 03:00,5,0,0,10
D06_20250810030215.avi,03:02:15,03:05:24,3.15,03:00 - 03:30,6,1,0,10
D06_20250810030641.avi,03:06:41,03:07:51,1.17,03:00 - 03:30,6,0,0,10
D06_20250810031158.avi,03:11:58,03:15:37,3.66,03:00 - 03:30,6,0,0,10
D06_20250810031643.avi,03:16:43,03:17:52,1.15,03:00 - 03:30,6,0,0,10
D06_20250810032406.avi,03:24:06,03:26:46,2.67,03:00 - 03:30,6,1,0,10
D06_20250810032745.avi,03:27:45,03:28:53,1.14,03:00 - 03:30,6,0,0,10
D06_20250810033846.avi,03:38:46,03:40:54,2.14,03:30 - 04:00,7,1,0,10
D06_20250810034055.avi,03:40:55,03:43:52,2.96,03:30 - 04:00,7,0,0,10
D06_20250810034442.avi,03:44:42,03:47:15,2.56,03:30 - 04:00,7,1,0,10
D06_20250810040917.avi,04:09:17,04:11:48,2.52,04:00 - 04:30,8,0,0,10
D06_20250810043836.avi,04:38:36,04:41:44,3.14,04:30 - 05:00,9,1,1,11
D06_20250810045313.avi,04:53:13,04:55:41,2.47,04:30 - 05:00,9,0,0,11
D06_20250810045616.avi,04:56:16,04:59:22,3.11,04:30 - 05:00,9,0,0,11
D06_20250810050856.avi,05:08:56,05:12:18,3.38,05:00 - 05:30,10,1,0,11
D06_20250810051433.avi,05:14:33,05:18:38,4.09,05:00 - 05:30,10,2,1,12
D06_20250810051944.avi,05:19:44,05:22:41,2.95,05:00 - 05:30,10,1,0,12
D06_20250810052726.avi,05:27:26,05:30:21,2.92,05:00 - 05:30,10,2,1,13
D06_20250810053718.avi,05:37:18,05:39:48,2.50,05:30 - 06:00,11,1,1,14
D06_20250810054045.avi,05:40:45,05:43:57,3.20,05:30 - 06:00,11,0,0,14
D06_20250810054436.avi,05:44:36,05:47:42,3.11,05:30 - 06:00,11,0,0,14
D06_20250810054843.avi,05:48:43,05:49:53,1.17,05:30 - 06:00,11,0,0,14
D06_20250810055229.avi,05:52:29,05:56:21,3.87,05:30 - 06:00,11,2,3,17
D06_20250810055745.avi,05:57:45,05:58:51,1.11,05:30 - 06:00,11,0,0,17
D06_20250810055850.avi,05:58:50,06:05:19,6.49,05:30 - 06:00,11,3,1,18
D06_20250810055850.avi,05:58:50,06:05:19,6.49,06:00 - 06:30,12,3,1,19
D06_20250810060644.avi,06:06:44,06:07:53,1.15,06:00 - 06:30,12,0,0,19
D06_20250810061109.avi,06:11:09,06:21:19,10.17,06:00 - 06:30,12,7,8,27
D06_20250810062232.avi,06:22:32,06:35:02,12.50,06:00 - 06:30,12,9,5,32
D06_20250810062232.avi,06:22:32,06:35:02,12.50,06:30 - 07:00,13,9,2,34
D06_20250810063506.avi,06:35:06,06:37:28,2.37,06:30 - 07:00,13,1,0,34
D06_20250810063727.avi,06:37:27,06:40:04,2.62,06:30 - 07:00,13,2,1,35
D06_20250810064144.avi,06:41:44,06:42:53,1.16,06:30 - 07:00,13,0,0,35
D06_20250810064413.avi,06:44:13,06:48:35,4.37,06:30 - 07:00,13,2,1,36
D06_20250810064932.avi,06:49:32,07:00:56,11.41,06:30 - 07:00,13,7,4,40
D06_20250810064932.avi,06:49:32,07:00:56,11.41,07:00 - 07:30,14,7,0,40
D06_20250810070106.avi,07:01:06,07:03:33,2.45,07:00 - 07:30,14,2,1,41
D06_20250810070332.avi,07:03:32,07:15:50,12.30,07:00 - 07:30,14,9,7,48
D06_20250810071656.avi,07:16:56,07:19:29,2.56,07:00 - 07:30,14,1,0,48
D06_20250810072045.avi,07:20:45,07:26:09,5.40,07:00 - 07:30,14,1,0,48
D06_20250810072832.avi,07:28:32,07:31:42,3.18,07:30 - 08:00,15,1,1,49
D06_20250810073246.avi,07:32:46,07:36:01,3.25,07:30 - 08:00,15,1,1,50
D06_20250810073713.avi,07:37:13,07:40:26,3.22,07:30 - 08:00,15,1,1,51
D06_20250810074823.avi,07:48:23,07:51:20,2.96,07:30 - 08:00,15,0,0,51
D06_20250810075122.avi,07:51:22,07:54:37,3.25,07:30 - 08:00,15,1,1,52
D06_20250810075516.avi,07:55:16,07:57:06,1.84,07:30 - 08:00,15,0,0,52
