hour,hour_range,hourly_count,cumulative_hourly_count
0,00:00 - 01:00,18,18
1,01:00 - 02:00,23,41
2,02:00 - 03:00,23,64
3,03:00 - 04:00,11,75
4,04:00 - 05:00,11,86
5,05:00 - 06:00,15,101
6,06:00 - 07:00,104,205
7,07:00 - 08:00,67,272
8,08:00 - 09:00,63,335
9,09:00 - 10:00,172,507
10,10:00 - 11:00,192,699
11,11:00 - 12:00,222,921
12,12:00 - 13:00,292,1213
13,13:00 - 14:00,345,1558
14,14:00 - 15:00,334,1892
15,15:00 - 16:00,288,2180
16,16:00 - 17:00,267,2447
17,17:00 - 18:00,252,2699
18,18:00 - 19:00,253,2952
19,19:00 - 20:00,254,3206
20,20:00 - 21:00,224,3430
21,21:00 - 22:00,187,3617
22,22:00 - 23:00,142,3759
23,23:00 - 00:00,92,3851

