hour,hour_range,hourly_count,cumulative_hourly_count
0,00:00 - 01:00,209,209
1,01:00 - 02:00,224,433
2,02:00 - 03:00,174,607
3,03:00 - 04:00,110,717
4,04:00 - 05:00,165,882
5,05:00 - 06:00,142,1024
6,06:00 - 07:00,712,1736
7,07:00 - 08:00,148,1884
8,08:00 - 09:00,561,2445
9,09:00 - 10:00,957,3402
10,10:00 - 11:00,1365,4767
11,11:00 - 12:00,273,5040
12,12:00 - 13:00,1847,6887
13,13:00 - 14:00,2174,9061
14,14:00 - 15:00,678,9739
15,15:00 - 16:00,1092,10831
16,16:00 - 17:00,1741,12572
17,17:00 - 18:00,578,13150
18,18:00 - 19:00,1112,14262
19,19:00 - 20:00,1228,15490
20,20:00 - 21:00,222,15712
21,21:00 - 22:00,839,16551
22,22:00 - 23:00,236,16787
23,23:00 - 24:00,202,16989
